Periodo,Regiao ,Instituicao,No Total de Partos,No Cesarianas
2014-07,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",1012,273
2014-07,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",686,227
2014-08,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",675,140
2014-07,Regiao de Saude Norte,"Centro Hospitalar do Alto Ave, EPE",1095,316
2014-07,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",886,243
2014-07,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",1381,332
2014-08,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2014-07,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2014-08,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2014-07,Regiao de Saude do Centro,Hospital Jose Luciano de Castro,,
2014-08,Regiao de Saude do Centro,Hospital Jose Luciano de Castro,,
2014-10,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",3934,1084
2014-09,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",524,179
2014-09,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",1236,284
2014-09,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",847,229
2014-09,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",1024,239
2014-10,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2014-09,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2014-10,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",1055,364
2014-11,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",481,115
2014-10,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",1133,288
2014-10,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",479,191
2014-10,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",1913,503
2014-11,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",3088,838
2014-10,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",2206,673
2014-10,Regiao de Saude LVT,Centro Hospitalar do Oeste,1261,345
2014-10,Regiao de Saude LVT,"Hospital de Loures, PPP",1923,385
2015-07,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",1069,310
2015-07,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2015-07,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",1979,543
2015-07,Regiao de Saude LVT,Centro Hospitalar do Oeste,774,224
2015-07,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",444,123
2015-07,Regiao de Saude LVT,"Hospital de Cascais, PPP",1459,390
2015-07,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",1527,444
2015-07,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",1388,422
2015-07,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",957,295
2015-07,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",275,115
2015-08,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",738,212
2015-08,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",1119,237
2015-08,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2015-08,Regiao de Saude LVT,"Centro Hospitalar Lisboa Norte, EPE",1499,366
2015-08,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",1026,229
2015-08,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",1599,479
2015-08,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",498,180
2015-08,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",1500,373
2015-09,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2015-09,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",1265,260
2015-09,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2015-09,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",910,250
2015-09,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",2032,579
2015-09,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",2354,630
2015-09,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",1093,269
2015-09,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",362,155
2015-10,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",862,200
2015-10,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",475,147
2015-10,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",1412,294
2015-10,Regiao de Saude LVT,Centro Hospitalar do Oeste,1148,322
2015-10,Regiao de Saude LVT,"Hospital de Cascais, PPP",2138,565
2015-10,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2015-10,Regiao de Saude Norte,"Centro Hospitalar do Medio Ave, EPE",1051,392
2015-10,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2015-11,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",954,219
2015-11,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2015-11,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",1776,525
2015-11,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",1728,405
2015-11,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",2144,576
2015-11,Regiao de Saude LVT,Centro Hospitalar do Oeste,1274,361
2015-11,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",2466,703
2015-11,Regiao de Saude LVT,Instituto Gama Pinto,,
2015-11,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",2276,670
2015-11,Regiao de Saude Norte,"Centro Hospitalar do Medio Ave, EPE",1140,422
2015-11,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2015-12,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",536,128
2015-12,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",1635,476
2015-12,Regiao de Saude LVT,Centro Hospitalar do Oeste,1371,396
2015-12,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",1620,370
2015-12,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",1217,340
2015-12,Regiao de Saude Norte,"Centro Hospitalar do Medio Ave, EPE",1245,460
2015-12,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",1496,362
2016-01,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",116,26
2016-01,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2016-01,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",396,109
2016-01,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",163,36
2016-01,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2016-01,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",283,85
2016-01,Regiao de Saude LVT,Centro Hospitalar do Oeste,117,33
2016-01,Regiao de Saude LVT,"Hospital de Loures, PPP",218,47
2016-01,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",209,60
2016-01,Regiao de Saude Norte,"Centro Hospitalar do Medio Ave, EPE",94,33
2016-02,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",759,196
2016-02,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",59,16
2016-02,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",527,164
2016-02,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",358,90
2016-02,Regiao de Saude LVT,"Centro Hospitalar Lisboa Norte, EPE",396,102
2016-02,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2016-02,Regiao de Saude LVT,Instituto Gama Pinto,,
2016-02,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2016-02,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",279,69
2016-02,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",372,101
2016-02,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2016-03,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",245,65
2013-04,Regiao de Saude do Centro,Hospital Jose Luciano de Castro,,
2013-04,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2013-05,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",1969,571
2013-07,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",2723,787
2013-11,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",521,184
2013-11,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",346,94
2013-11,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",1604,418
2013-11,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",1553,464
2013-11,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",3434,1015
2013-11,Regiao de Saude LVT,"Centro Hospitalar Lisboa Norte, EPE",2042,562
2013-11,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",2308,513
2013-11,Regiao de Saude LVT,"Hospital de Loures, PPP",1945,425
2013-01,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",154,61
2013-03,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",141,55
2013-02,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",230,83
2013-03,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",462,144
2013-03,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",387,119
2013-03,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",594,155
2013-03,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2013-03,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2013-03,Regiao de Saude do Centro,Hospital Jose Luciano de Castro,,
2013-03,Regiao de Saude LVT,Instituto Gama Pinto,,
2013-08,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",1139,284
2013-08,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",380,138
2013-07,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",844,258
2013-08,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",410,120
2013-08,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",1738,637
2013-08,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",1669,375
2013-07,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2013-07,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2013-07,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2013-07,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2013-03,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",140,48
2013-04,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",177,63
2013-03,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",398,90
2013-03,Regiao de Saude Norte,"Centro Hospitalar do Medio Ave, EPE",300,126
2013-03,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",731,266
2013-03,Regiao de Saude Norte,"Hospital de Braga, PPP",598,190
2013-04,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2013-04,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2013-03,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2013-03,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2013-11,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",1517,562
2013-11,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",483,197
2013-12,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",3506,1056
2013-11,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2014-09,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",1034,258
2014-10,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",3014,931
2014-10,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",939,249
2014-09,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",2020,615
2014-10,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",2038,469
2014-10,Regiao de Saude LVT,"Hospital de Cascais, PPP",1901,520
2014-11,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2014-10,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2014-09,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2014-10,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2014-11,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",517,139
2014-11,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",1470,360
2014-11,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",1684,514
2015-07,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2015-07,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",191,44
2015-07,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",923,271
2015-07,Regiao de Saude LVT,"Hospital de Loures, PPP",1336,298
2015-07,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",885,211
2015-07,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",683,186
2015-07,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",1352,349
2015-07,Regiao de Saude LVT,Instituto Gama Pinto,,
2015-07,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2015-07,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",1798,487
2015-07,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",1294,325
2015-07,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",776,290
2015-07,Regiao de Saude Norte,"Hospital da Senhora da Oliveira, Guimaraes, EPE",1076,318
2015-07,Regiao de Saude Norte,"Hospital de Braga, PPP",1581,463
2015-07,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",839,223
2015-08,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",648,156
2015-08,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",355,81
2015-08,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",2303,571
2015-08,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",3211,922
2015-08,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",1222,263
2015-08,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",2289,628
2015-08,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",509,138
2015-08,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2015-08,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",1577,402
2015-08,Regiao de Saude LVT,Instituto Gama Pinto,,
2015-08,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2015-08,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2015-08,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",975,259
2015-09,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",832,248
2015-09,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",1408,307
2015-09,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2015-09,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2015-09,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",270,63
2015-09,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",1208,353
2015-09,Regiao de Saude LVT,"Hospital de Cascais, PPP",1930,499
2015-09,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",1752,446
2015-09,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",1291,407
2015-09,Regiao de Saude Norte,"Hospital de Braga, PPP",2078,594
2015-10,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",1557,352
2015-10,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2015-10,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2013-12,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",1734,462
2014-01,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",145,37
2014-01,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",44,10
2013-12,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",1393,425
2013-12,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",526,223
2014-01,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2014-01,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2014-01,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2014-01,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2014-06,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",492,110
2014-06,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",244,63
2014-05,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",541,153
2014-06,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",759,181
2014-05,Regiao de Saude LVT,"Centro Hospitalar Barreiro/Montijo, EPE",601,195
2014-05,Regiao de Saude LVT,"Hospital de Loures, PPP",901,183
2014-06,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2014-05,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2014-06,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2014-06,Regiao de Saude do Centro,Hospital Jose Luciano de Castro,,
2014-06,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",578,193
2014-07,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",301,86
2014-07,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",919,216
2014-06,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",256,100
2014-07,Regiao de Saude LVT,"Centro Hospitalar Barreiro/Montijo, EPE",840,285
2014-07,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",1893,507
2014-07,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2014-07,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2013-12,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",4823,1411
2013-03,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",196,74
2013-08,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",372,133
2013-03,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",245,63
2013-01,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",83,22
2013-12,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",1922,562
2013-12,Regiao de Saude LVT,"Centro Hospitalar Barreiro/Montijo, EPE",1502,546
2013-12,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",784,234
2013-12,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2013-12,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2014-05,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",414,91
2014-04,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",512,150
2014-04,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",1085,333
2014-04,Regiao de Saude Norte,"Centro Hospitalar do Medio Ave, EPE",393,106
2014-04,Regiao de Saude LVT,Centro Hospitalar do Oeste,464,120
2014-04,Regiao de Saude Norte,"Hospital de Braga, PPP",759,229
2014-04,Regiao de Saude LVT,"Hospital de Loures, PPP",726,151
2014-05,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2014-04,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2015-01,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",39,11
2014-12,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",345,112
2015-01,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",107,28
2014-12,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",2296,668
2014-12,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",2502,671
2015-01,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",153,44
2014-12,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",1141,311
2014-12,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",1437,350
2014-12,Regiao de Saude LVT,Centro Hospitalar do Oeste,1470,407
2014-12,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2015-01,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",57,26
2015-02,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",146,39
2015-02,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",82,24
2015-02,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",193,51
2015-01,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",127,28
2015-01,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",111,26
2015-02,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",567,127
2015-02,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",278,82
2015-01,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2015-01,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2015-01,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",20,5
2015-01,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",167,31
2015-01,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",301,79
2015-01,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",210,59
2015-01,Regiao de Saude LVT,"Centro Hospitalar Lisboa Norte, EPE",184,46
2015-01,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",250,70
2015-01,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",190,49
2015-01,Regiao de Saude LVT,"Hospital de Loures, PPP",186,49
2015-01,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2015-01,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2015-02,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",738,238
2015-02,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",273,49
2015-02,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",338,98
2015-02,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",129,43
2013-02,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",159,44
2013-01,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",86,25
2013-02,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",261,77
2013-01,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",70,16
2013-02,Regiao de Saude LVT,"Hospital de Cascais, PPP",383,115
2013-01,Regiao de Saude Norte,"Hospital de Braga, PPP",217,71
2013-02,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2013-01,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2013-01,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2014-11,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",967,214
2014-10,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",283,93
2014-11,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",951,334
2014-10,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1911,552
2014-11,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",3294,998
2014-10,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",448,168
2014-10,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",1168,275
2014-10,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",1371,383
2014-10,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2014-10,Regiao de Saude LVT,Instituto Gama Pinto,,
2014-10,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",437,107
2016-05,Regiao de Saude LVT,"Centro Hospitalar Barreiro/Montijo, EPE",577,165
2016-05,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",1383,411
2016-05,Regiao de Saude LVT,"Centro Hospitalar Lisboa Norte, EPE",993,249
2016-05,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2016-05,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2016-05,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2016-06,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",1790,456
2016-06,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",836,223
2016-06,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2016-06,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2016-06,Regiao de Saude LVT,"Centro Hospitalar Lisboa Norte, EPE",1198,303
2016-06,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",1116,313
2016-06,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",670,235
2016-06,Regiao de Saude Norte,"Hospital de Braga, PPP",1402,380
2016-06,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",708,193
2016-06,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",246,103
2016-07,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",287,85
2016-07,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",1194,333
